place,code,type,geo_id,tot_hholds,tot_schoolage,tot_hholds_both,tot_schoolage_both,perc_hholds_both,perc_schoolage_both,tot_hholds_computer,tot_schoolage_computer,perc_hholds_computer,perc_schoolage_computer,tot_hholds_neither,tot_schoolage_neither,perc_hholds_neither,perc_schoolage_neither,cohort,subject,year,value
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,1,mathematics,2022,239.153293809039
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,2,mathematics,2019,285.649347493642
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,2,mathematics,2022,278.646365196182
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,1,reading,2019,221.812962059612
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,1,reading,2022,217.363500242914
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,2,reading,2019,265.954997612053
Indiana,IN,state,0400000US18,6507458,1565650,5655572,1415340,86.9,90.4,420383,92092,6.5,5.9,414118,56008,6.4,3.6,2,reading,2022,260.504242115985
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,1,mathematics,2019,240.688738120696
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,1,mathematics,2022,239.83342021025
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,2,mathematics,2019,281.669713374579
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,2,mathematics,2022,277.131073214538
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,1,reading,2019,220.502917093727
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,1,reading,2022,218.019791217283
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,2,reading,2019,262.329032641702
Iowa,IA,state,0400000US19,3052458,725533,2672186,673163,87.5,92.8,191969,37090,6.3,5.1,177490,14766,5.8,2,2,reading,2022,259.767473810611
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,1,mathematics,2019,239.439793698183
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,1,mathematics,2022,235.033207865411
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,2,mathematics,2019,282.211700315563
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,2,mathematics,2022,271.962245177771
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,1,reading,2019,219.133566574447
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,1,reading,2022,214.682441301693
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,2,reading,2019,262.819050847892
Kansas,KS,state,0400000US20,2832911,703786,2508415,651173,88.5,92.5,181861,40923,6.4,5.8,136813,11397,4.8,1.6,2,reading,2022,256.182078264314
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,1,mathematics,2019,239.310713003117
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,1,mathematics,2022,233.803481017921
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,2,mathematics,2019,278.100386552262
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,2,mathematics,2022,269.412552664086
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,1,reading,2019,220.929888641558
Kentucky,KY,state,0400000US21,4330127,1004141,3715838,913754,85.8,91,283520,56686,6.5,5.6,320772,32401,7.4,3.2,1,reading,2022,216.597654865333
