name,code,type,cohort,subject,year,value
Rhode Island,RI,state,2,reading,2019,262.146157582051
Rhode Island,RI,state,2,reading,2022,259.392585006254
South Carolina,SC,state,1,mathematics,2019,236.754522609384
South Carolina,SC,state,1,mathematics,2022,234.223641874243
South Carolina,SC,state,2,mathematics,2019,276.350019464145
South Carolina,SC,state,2,mathematics,2022,269.021048643419
South Carolina,SC,state,1,reading,2019,215.981732374201
South Carolina,SC,state,1,reading,2022,216.388794375541
South Carolina,SC,state,2,reading,2019,258.976515885229
South Carolina,SC,state,2,reading,2022,253.86936782685
South Dakota,SD,state,1,mathematics,2019,241.296277726994
South Dakota,SD,state,1,mathematics,2022,239.006671594519
South Dakota,SD,state,2,mathematics,2019,287.087942904959
South Dakota,SD,state,2,mathematics,2022,281.437492016736
South Dakota,SD,state,1,reading,2019,222.004520540202
South Dakota,SD,state,1,reading,2022,218.067398995857
South Dakota,SD,state,2,reading,2019,262.770856466814
South Dakota,SD,state,2,reading,2022,261.839459552595
Tennessee,TN,state,1,mathematics,2019,239.698504109313
Tennessee,TN,state,1,mathematics,2022,236.354104669682
Tennessee,TN,state,2,mathematics,2019,280.079035689218
Tennessee,TN,state,2,mathematics,2022,271.975664197667
Tennessee,TN,state,1,reading,2019,219.061110000096
Tennessee,TN,state,1,reading,2022,214.000841671919
Tennessee,TN,state,2,reading,2019,262.462713482116
Tennessee,TN,state,2,reading,2022,257.559768339582
Texas,TX,state,1,mathematics,2019,243.616542643714
Texas,TX,state,1,mathematics,2022,238.575823946802
Texas,TX,state,2,mathematics,2019,279.651107847019
Texas,TX,state,2,mathematics,2022,272.668875879933
Texas,TX,state,1,reading,2019,216.044998438523
Texas,TX,state,1,reading,2022,214.198243688727
Texas,TX,state,2,reading,2019,255.742396588221
Texas,TX,state,2,reading,2022,255.173642493018
Utah,UT,state,1,mathematics,2019,243.78904583418
Utah,UT,state,1,mathematics,2022,239.614085877439
Utah,UT,state,2,mathematics,2019,284.930389419443
Utah,UT,state,2,mathematics,2022,282.211027508016
Utah,UT,state,1,reading,2019,225.148646813036
Utah,UT,state,1,reading,2022,221.085903820864
Utah,UT,state,2,reading,2019,267.417962093047
Utah,UT,state,2,reading,2022,265.218539076709
Vermont,VT,state,1,mathematics,2019,238.89989740832
